,text,date
0,Family court judges given power to intervene in domestic abuse cases,2020-06-24T23:01:29Z
1,"Children at RNIB schools and homes put at risk, charity regulator finds",2020-06-24T23:01:29Z
2,Child abuse victims to sue Celtic FC in landmark case,2020-06-24T23:01:28Z
3,"Cryptic crossword No 28,169",2020-06-24T23:00:28Z
4,Trent Alexander-Arnold the spark for Liverpool's thrilling reignition | Barney Ronay,2020-06-24T22:55:55Z
5,'This team really wants it': Klopp hails Liverpool's charge towards league title,2020-06-24T22:23:22Z
6,US records highest one-day total in coronavirus cases since April,2020-06-24T22:17:37Z
7,Million hectares of threatened species' habitat cleared without assessments,2020-06-24T22:00:27Z
8,Ahmaud Arbery: grand jury indicts three men in murder case,2020-06-24T21:59:14Z
9,Liverpool 4-0 Crystal Palace: Premier League – as it happened,2020-06-24T21:43:43Z
10,Long lines and delayed results: key takeaways from the latest US primaries,2020-06-24T21:35:37Z
11,"Agüero injury is blow to Manchester City's European hopes, says Guardiola",2020-06-24T21:31:25Z
12,"Planning rules lifted for fairs, markets and car boot sales in England",2020-06-24T21:30:27Z
13,Novak Djokovic left isolated as Adria Tour blame game intensifies,2020-06-24T21:30:27Z
14,Five withdraw over Covid-19 links but Travelers Championship goes ahead,2020-06-24T21:16:39Z
15,Liverpool cruise past Crystal Palace to put Premier League title in sight,2020-06-24T21:12:05Z
16,"Morning mail: renewables jobs face axe, rescue package for the arts, how to be a good ally",2020-06-24T20:57:37Z
17,Mikel Arteta confident Bukayo Saka will sign new Arsenal contract,2020-06-24T20:54:28Z
18,Andy Murray shows encouraging signs in defeat to Kyle Edmund,2020-06-24T20:42:15Z
19,Aston Villa's Elmohamady heads in to salvage precious draw at Newcastle,2020-06-24T20:41:41Z
20,'Frustrated' Bubba Wallace says noose investigation was not an overreaction,2020-06-24T20:41:20Z
21,Moroccan police summon journalist days after Israeli spyware allegations,2020-06-24T20:32:49Z
22,"Calling all cops! Your food isn't being poisoned by anyone, despite your claims | Poppy Noor",2020-06-24T20:32:11Z
23,Siberia temperature hits record high amid Arctic heatwave,2020-06-24T20:30:25Z
24,Wolves' Raúl Jiménez and Adama Traoré combine to sink Bournemouth,2020-06-24T20:03:08Z
25,'Too early to call': why it's unlikely we'll have a winner on US election night,2020-06-24T20:01:46Z
26,"Extending free childcare could fuel huge boost to economy, report says",2020-06-24T20:00:25Z
27,Corrections and clarifications,2020-06-24T20:00:25Z
28,'We don't want to give Marxists doe': texts between Desmond and Jenrick,2020-06-24T19:44:52Z
29,Manchester United 3-0 Sheffield United: Premier League – as it happened,2020-06-24T19:33:46Z
30,Papers indicate Robert Jenrick rushed through planning decision so Tory donor could reduce costs by £50m – as it happened,2020-06-24T19:29:01Z
31,Newcastle United 1-1 Aston Villa: Premier League – as it happened,2020-06-24T19:21:34Z
32,Wolves 1-0 Bournemouth: Premier League – as it happened,2020-06-24T19:19:31Z
33,The Robert Jenrick planning row explained,2020-06-24T19:17:16Z
34,Colombia's bid to host 2023 Women's World Cup boosted by Uefa,2020-06-24T19:08:50Z
35,Martial hat-trick powers Manchester United to win over Sheffield United,2020-06-24T19:08:39Z
36,Norwich City 0-1 Everton: Premier League – as it happened,2020-06-24T19:05:53Z
37,Everton's Michael Keane flicks in to plunge Norwich closer to relegation,2020-06-24T19:02:24Z
38,EasyJet launches £450m rights issue to shore up Covid defence,2020-06-24T18:48:19Z
39,Lady Scotland to stay on as Commonwealth secretary general,2020-06-24T18:39:24Z
40,The government cannot allow Tata to buckle under Covid pressure | Nils Pratley,2020-06-24T18:18:32Z
41,Texas Covid-19 cases hit all-time daily high as Houston hospitals near capacity,2020-06-24T18:16:07Z
42,Life almost as we know it: England's lockdown changes on 4 July,2020-06-24T18:10:27Z
43,John Lewis appoints Pippa Wicks as executive director,2020-06-24T18:08:22Z
44,Adélie penguins could thrive as result of sea ice melting,2020-06-24T18:00:22Z
45,The Guardian view on scientists in Downing Street: a brief encounter | Editorial,2020-06-24T17:57:24Z
46,The Guardian view on Robert Jenrick and the planning row: Tories and their friends | Editorial,2020-06-24T17:56:14Z
47,US woman sparks transatlantic tea war with brutal online brew,2020-06-24T17:48:42Z
