,text,date
0,Protest Scenes Across California,2020-06-01T22:02:17+0000
1,The Systems That Protect the Police,2020-06-02T09:59:40+0000
2,Former Commanders Fault Trump’s Use of Troops Against Protesters,2020-06-02T15:15:54+0000
3,How Colleges Can Keep the Coronavirus Off Campus,2020-06-01T09:00:13+0000
4,The Looting: The Victims and the Vandals,2020-06-03T18:58:35+0000
5,"America, We Break It, It’s Gone",2020-06-02T23:53:48+0000
6,Peaceful Protesters Defy Curfews as Violence Ebbs,2020-06-02T09:04:31+0000
7,E.R. Visits Drop Sharply During Pandemic,2020-06-03T23:32:42+0000
8,New York’s Days of Protest: What It Looked Like From the Streets,2020-06-01T02:57:54+0000
9,How Zane Lowe Became Pop’s Unofficial Therapist,2020-06-01T14:00:10+0000
10,‘Our Nation Is Falling Apart’,2020-06-01T19:10:01+0000
11,Poor Countries Face a Debt Crisis ‘Unlike Anything We Have Seen’,2020-06-01T09:00:18+0000
12,"Retailers, Battered by Pandemic, Now Confront Protests",2020-06-01T20:33:08+0000
13,The Virus Could Cost States Like Mine Billions of Dollars,2020-06-01T19:00:10+0000
14,"In Cities Battered by Protest, the Cleaning Crews Come Out",2020-06-01T23:34:00+0000
15,Protest Scenes Across California,2020-06-01T22:02:17+0000
16,"No Corrections: June 1, 2020",2020-06-01T04:23:49+0000
17,Fires Near White House During Protests in Washington,2020-06-01T04:49:52+0000
18,What’s on TV Monday: ‘Zombi Child’ and ‘Inside Man’,2020-06-01T05:00:09+0000
19,"The Best Movies and TV Shows Coming to Netflix, Amazon and More in June",2020-06-01T19:07:29+0000
20,China Offers Measured Response to Trump’s Move on Hong Kong,2020-06-01T11:47:36+0000
21,"U.S. Economy Faces Long-Term Recovery, C.B.O. Says",2020-06-01T08:37:14+0000
22,"Restaurants Nourish Protesters With Food, Supplies and Donations",2020-06-02T18:23:02+0000
23,‘We Need Help’: Coronavirus Fuels Racism Against Black Americans in China,2020-06-02T09:00:23+0000
24,"What Is the Insurrection Act of 1807, the Law Behind Trump’s Threat to States?",2020-06-02T15:10:38+0000
25,Oat Milk Powers This Ice Cream,2020-06-01T22:23:06+0000
26,Fall Is Now Jam-Packed for Book Publishers. That Could Be a Problem.,2020-06-01T09:00:32+0000
27,Recent Commercial Real Estate Transactions,2020-06-02T18:25:01+0000
28,"No Corrections: June 1, 2020",2020-06-01T04:23:49+0000
29,Video Appears to Show a Tanker Truck Driving Into Minneapolis Protesters,2020-06-01T00:22:27+0000
30,Wallace Stegner and the Conflicted Soul of the West,2020-06-01T21:37:40+0000
31,The Virgil Abloh Backlash,2020-06-01T21:23:32+0000
32,A World War II Flag Taken During a Reno Protest Is Returned,2020-06-03T09:00:20+0000
33,"For This Tribe, Saving a River Means Saving the Sturgeon",2020-06-02T15:13:33+0000
34,"Venice Glimpses a Future With Fewer Tourists, and Likes What It Sees",2020-06-03T15:14:03+0000
35,"Embattled at Home, Trump Finds Himself Isolated Abroad, Too",2020-06-02T18:29:23+0000
36,People Can’t Stop Watching Videos of Police and Protesters. That’s the Idea.,2020-06-02T19:10:39+0000
37,"‘In Every City, There’s a George Floyd’: Portraits of Protest",2020-06-02T09:00:37+0000
38,"How You Should Read Coronavirus Studies, or Any Science Paper",2020-06-01T21:16:15+0000
39,Monster or Machine? A Profile of the Coronavirus at 6 Months,2020-06-02T06:30:16+0000
40,The Virus Could Cost States Like Mine Billions of Dollars,2020-06-01T19:00:10+0000
41,"In Cities Battered by Protest, the Cleaning Crews Come Out",2020-06-01T23:34:00+0000
42,When Jail Becomes Normal,2020-06-03T10:45:17+0000
43,Protest Scenes Across California,2020-06-01T22:02:17+0000
44,‘He Could Have Been My Brother’: Women’s Voices in the Protests,2020-06-02T20:50:43+0000
45,"William Barr, George Floyd Protests, Birdsongs: Your Tuesday Evening Briefing",2020-06-02T22:06:00+0000
46,Shattered Glass in SoHo as Looters Ransack Lower Manhattan,2020-06-01T23:09:07+0000
47,Geofencing at the Ballot Box,2020-06-02T23:28:33+0000
48,America’s Protests Won’t Stop Until Police Brutality Does,2020-06-01T23:51:51+0000
49,People Can’t Stop Watching Videos of Police and Protesters. That’s the Idea.,2020-06-02T19:10:39+0000
50,College Board Scraps Plans for SAT at Home,2020-06-02T22:25:16+0000
51,"After Curfew, Police Arrest Dozens of Protesters in New York City",2020-06-03T13:25:55+0000
52,"Ruben Varias Reyes, Diplomat Who Questioned Marcos Spending, Dies at 79",2020-06-02T06:40:52+0000
53,A Beacon of Possibility for Your Time Indoors,2020-06-03T16:30:56+0000
54,Obama Voices Support for George Floyd Protesters and Calls for Police Reform,2020-06-03T20:30:04+0000
55,Review: Streaming Consciousness Floods ‘A School for Fools’,2020-06-02T19:06:51+0000
56,"Holding It Aloft, He Incited a Backlash. What Does the Bible Mean to Trump?",2020-06-03T00:34:01+0000
57,Protests in N.Y.C.: Latest Updates,2020-06-01T09:24:04+0000
58,"German Man Is a Suspect in Case of Madeleine McCann, a Girl Missing Since 2007",2020-06-03T19:20:08+0000
59,"With Steve King Gone, Does the Democrat Have a Shot in His Iowa District?",2020-06-03T22:59:49+0000
60,Senate Approves More Time to Spend Paycheck Protection Loans,2020-06-03T13:54:37+0000
61,E.R. Visits Drop Sharply During Pandemic,2020-06-03T23:32:42+0000
62,Shattered Glass in SoHo as Looters Ransack Lower Manhattan,2020-06-01T23:09:07+0000
63,When Jail Becomes Normal,2020-06-03T10:45:17+0000
64,Airy Snack Item,2020-06-03T02:00:04+0000
65,"Minneapolis, Barack Obama, E-Bikes: Your Wednesday Evening Briefing",2020-06-03T21:45:12+0000
66,The Virgil Abloh Backlash,2020-06-01T21:23:32+0000
67,A World War II Flag Taken During a Reno Protest Is Returned,2020-06-03T09:00:20+0000
68,How to Reduce Police Brutality,2020-06-03T15:34:10+0000
69,The Umbrellas of Christo Took Over My First Months in New York,2020-06-03T19:08:51+0000
70,"Venice Glimpses a Future With Fewer Tourists, and Likes What It Sees",2020-06-03T15:14:03+0000
