,text,date
0,UAE and Israeli companies to cooperate to combat coronavirus: WAM - Reuters,2020-06-25T19:46:00Z
1,Amazon secures naming rights to new Seattle stadium - Reuters,2020-06-25T19:31:00Z
2,全球金市：金价持稳，新增病例数攀升引发担忧但美元削弱其避险吸引力 - 路透,2020-06-25T19:22:33Z
3,Vaccine makers face record production challenge - Reuters,2020-06-25T19:20:05Z
4,Arsenal back to winning ways with 2-0 victory at Saints - Reuters UK,2020-06-25T19:20:00Z
5,Mexico's finance minister tests positive for coronavirus,2020-06-25T19:18:33Z
6,Mexico's finance minister tests positive for coronavirus - Reuters,2020-06-25T19:18:00Z
7,Golf: Hughes goes on birdie blitz to grab early lead at Travelers - Reuters,2020-06-25T19:16:00Z
8,Golf: Hughes goes on birdie blitz to grab early lead at Travelers,2020-06-25T19:11:35Z
9,Harley-Davidson to cut 140 U.S. jobs: company representative,2020-06-25T19:08:00Z
10,"Apple to close 14 stores in Florida as virus cases rise, total re-closures reaches 32",2020-06-25T19:00:36Z
11,Harley-Davidson to cut 140 U.S. jobs - company representative - Reuters,2020-06-25T19:00:00Z
12,No explanation for noose as NASCAR completes investigation - Reuters,2020-06-25T18:59:40Z
13,UPDATE 3-Texas pauses reopening plan as new U.S. coronavirus cases surge,2020-06-25T18:59:35Z
14,Soccer-Burnley's Rodriguez sinks Watford further into trouble,2020-06-25T18:59:14Z
15,"Apple to close 14 stores in Florida as virus cases rise, total re-closures reaches 32 - Reuters",2020-06-25T18:59:00Z
16,"UPDATE 1-Apple to close 14 stores in Florida as virus cases rise, total re-closures reaches 32",2020-06-25T18:58:26Z
17,"CORRECTED-Coronavirus pandemic makes more people vulnerable to trafficking, says annual U.S. report",2020-06-25T18:57:55Z
18,TREASURIES-Yields slip as COVID-19 rise clouds economic view - Reuters,2020-06-25T18:57:00Z
19,Harley-Davidson to cut 140 U.S. jobs - company representative,2020-06-25T18:55:57Z
20,"Spirit, Na'Vi reach playoffs at WePlay! Clutch Island - Reuters",2020-06-25T18:55:00Z
21,FIFA agree massive $1.5 billion COVID-19 relief plan - Reuters UK,2020-06-25T18:54:00Z
22,IN BRIEF: California privacy measure will appear on November ballot,2020-06-25T18:53:43Z
23,Lawsuit against Google over 'Googles' trademark is revived - U.S. appeals court - Reuters,2020-06-25T18:52:00Z
24,"CANADA FX DEBT-Canadian dollar hits a 10-day low, weighed by ratings 'hangover' - Reuters",2020-06-25T18:51:00Z
25,FIFA agree massive $1.5 billion COVID-19 relief plan - Reuters,2020-06-25T18:51:00Z
27,"Argentina, Brazil monitor massive locust swarm; crop damage seen limited - Reuters",2020-06-25T18:50:00Z
28,Apple to re-close 14 stores in Florida due to virus uptick - Reuters,2020-06-25T18:47:00Z
29,PRECIOUS-Gold steadies as new infections fuel worries - Reuters UK,2020-06-25T18:44:00Z
30,Ireland to ease travel restrictions with some countries from July 9 - Reuters,2020-06-25T18:42:00Z
31,Pakistani prime minister under fire for bin Laden 'martyrdom' remark - Reuters,2020-06-25T18:42:00Z
32,Pakistani prime minister under fire for bin Laden 'martyrdom' remark,2020-06-25T18:41:37Z
33,German minister demands regulatory rethink after Wirecard collapse,2020-06-25T18:41:36Z
34,"NFL: Annual Hall of Fame game, ceremony moved to 2021 due to COVID-19 pandemic - Reuters",2020-06-25T18:41:00Z
35,UPDATE 1-Proxy advisor Glass Lewis calls on Daimler investors to abstain from vote on boards - Reuters,2020-06-25T18:41:00Z
36,PRECIOUS-Gold steadies as new infections fuel worries - Reuters,2020-06-25T18:41:00Z
37,UPDATE 1-Mexican cenbank slashes key interest rate 50 basis points to 5% - Reuters,2020-06-25T18:41:00Z
38,"NFL: Annual Hall of Fame game, ceremony moved to 2021 due to COVID-19 pandemic",2020-06-25T18:38:58Z
39,Pennsylvania grand jury finds government failures during fracking boom - Reuters,2020-06-25T18:36:00Z
40,"UPDATE 1-Morocco's OCP to commission Nigeria, Ghana plants in 2024 - Reuters",2020-06-25T18:34:00Z
42,RPT-Munich court seeks assessment of Wirecard from insolvency expert Jaffe - Reuters,2020-06-25T18:31:00Z
43,Former Trump 2016 Republican rival Fiorina to back Biden - Reuters,2020-06-25T18:30:00Z
44,No explanation for noose as NASCAR completes investigation - Reuters UK,2020-06-25T18:30:00Z
45,Biden to attack Trump on healthcare in election battleground state - Reuters,2020-06-25T18:29:00Z
46,BRIEF-Khiron Signs Distribution Deal In Germany For Medical Cannabis Imports And Sales - Reuters,2020-06-25T18:29:00Z
48,"Russia quits U.N. system aimed at protecting hospitals, aid in Syria - Reuters",2020-06-25T18:28:00Z
49,Brazil Supreme Court selects Luiz Fux as next chief justice - Reuters,2020-06-25T18:26:00Z
50,Supreme Court declines to change Ohio ballot initiatives policy - Reuters,2020-06-25T18:24:00Z
51,German minister demands regulatory rethink after Wirecard collapse - Reuters,2020-06-25T18:21:00Z
52,No explanation for noose as NASCAR completes investigation,2020-06-25T18:19:18Z
53,"From Kenya to Canada, support grows worldwide for homosexuality - Reuters",2020-06-25T18:19:00Z
54,"Coronavirus pandemic makes more people vulnerable to trafficking, says annual U.S. report",2020-06-25T18:18:31Z
55,Biden to attack Trump on healthcare in election battleground state,2020-06-25T18:17:56Z
56,California governor declares budget emergency due to COVID-19 pandemic - Reuters,2020-06-25T18:16:00Z
57,Mexican cenbank cuts key interest rate 50 basis points to 5.0% - Reuters,2020-06-25T18:16:00Z
58,California to vote to mandate some zero emission heavy duty trucks - Reuters,2020-06-25T18:16:00Z
59,"Russia quits U.N. system aimed at protecting hospitals, aid in Syria",2020-06-25T18:15:14Z
60,BRIEF-UK's CMA Says Proposed Undertakings Offered By Viagogo/Stubhub Not Clear-Cut Solution - Reuters,2020-06-25T18:14:00Z
