,text,date
0,"The coronavirus is jeopardizing a 'very, very finite' workforce: Africa's doctors and nurses",2020-06-25T20:40:00Z
1,"The Fed is limiting dividends and stopping buybacks for the largest banks, due to risks from the coronavirus pandemic",2020-06-25T20:33:07Z
2,Harry Reid’s latest dubious claim about elections,2020-06-25T20:30:49Z
3,Christian Pulisic scores electrifying goal for Chelsea in Premier League,2020-06-25T20:21:43Z
4,"After protests, a Unilever skin cream popular in India will no longer promote a 'Fair & Lovely' look",2020-06-25T20:20:20Z
5,Republicans are choosing rosy assessments of coronavirus that don’t match reality,2020-06-25T20:12:36Z
6,Pope moves against Polish bishop accused of hiding predators,2020-06-25T20:01:19Z
7,PM Update: Scattered storms around through sunset ahead of a sunny and warm Friday,2020-06-25T19:59:38Z
8,Democrats are finally voting for D.C. statehood. Now they need to keep pushing.,2020-06-25T19:47:43Z
9,"Trump lashes out at Black Lives Matter, accuses one member of ‘treason’",2020-06-25T19:44:34Z
10,"Weather company using tiny satellites inks deals with NASA, top European agencies to improve forecasts",2020-06-25T19:30:03Z
11,Trump keeps claiming that the most dangerous cities in America are all run by Democrats. They aren’t.,2020-06-25T19:28:25Z
12,Court in New York rejects effort to block book by President Trump’s niece,2020-06-25T19:24:29Z
13,Africa urges no 'obstacles' to a COVID-19 vaccine for all,2020-06-25T19:08:24Z
14,Israel says it reached deal with UAE to jointly fight virus,2020-06-25T18:58:28Z
15,Moroccan journalist and government critic called in for questioning,2020-06-25T18:42:15Z
16,Pakistan's prime minister says US 'martyred' bin Laden,2020-06-25T18:39:36Z
17,White House punts on Israel annexation; more talks planned,2020-06-25T18:26:17Z
18,Trump’s pick for Manhattan U.S. attorney refuses to say he would recuse from probes of president’s associates - The Washington Post,2020-06-25T18:21:11Z
19,Democrats’ shameful vote against Tim Scott’s police reform bill - The Washington Post,2020-06-25T18:10:46Z
20,Ex-UN human rights chief calls for Hong Kong special envoy,2020-06-25T18:03:07Z
21,UN food agency calls for aid to prevent another Syria exodus,2020-06-25T17:58:34Z
22,Mexican president's plan to meet Trump in Washington draws criticism at home,2020-06-25T17:53:06Z
23,US watchdog: Afghan gov't weakened ahead of Taliban talks,2020-06-25T17:43:12Z
24,"Ukraine asks EU, NATO to help deal with damage from floods",2020-06-25T17:33:50Z
25,New concerns raised about a well-known digital learning platform,2020-06-25T17:06:45Z
26,"Pompeo says US, EU working to resume trans-Atlantic travel",2020-06-25T17:02:25Z
27,Why isn’t Trump trying to win?,2020-06-25T16:59:15Z
28,"Dixie Chicks change name to ‘The Chicks,’ say ‘We want to meet this moment’",2020-06-25T16:39:55Z
29,The ridiculous coronavirus denialism of Trump’s top economic adviser,2020-06-25T16:37:49Z
30,"RG III on his time with the Redskins, being an African American quarterback and social change",2020-06-25T16:35:37Z
31,"NWSL Challenge Cup opens this weekend, making women’s soccer first U.S. team sport back",2020-06-25T16:28:05Z
32,World record lightning ‘megaflash’ in South America - 440 miles long - confirmed by scientists,2020-06-25T16:00:38Z
33,Supreme Court agrees with Trump administration on limits on asylum seekers,2020-06-25T15:50:49Z
34,AP Interview: Nepal preparing for new coronavirus cases,2020-06-25T15:48:11Z
35,US makes top pledge at conference to bolster aid to Sudan,2020-06-25T15:46:15Z
36,"Dodging virus, Navy ships break record for staying at sea",2020-06-25T15:43:27Z
37,"The Daily 202: With purges and appointments, Trump leaves a lasting mark on inspector general system",2020-06-25T15:38:27Z
38,Trump’s dumbfounding refusal to encourage wearing masks,2020-06-25T15:13:19Z
39,Trump homes in on Wisconsin as advisers fear Michigan may be Biden’s to lose - The Washington Post,2020-06-25T15:03:59Z
40,Lightning kills 83 people across India's Bihar state,2020-06-25T14:58:08Z
41,"Trump is in deep trouble, new polls show. But he has one hidden advantage.",2020-06-25T14:51:15Z
42,"Treasury sent more than 1 million coronavirus stimulus payments to dead people, congressional watchdog finds - The Washington Post",2020-06-25T14:16:26Z
43,Trump heading to Wisconsin as new polls show Biden building a lead in the battleground state,2020-06-25T14:07:55Z
44,A massive shift away from Trump in six key states indicates serious trouble for his reelection bid,2020-06-25T14:00:04Z
45,"New movies to stream this week: ‘No Small Matter,’ ‘Ella Fitzgerald: Just One of Those Things’ and more",2020-06-25T14:00:00Z
46,A look at the Nationals through 60 games since 2005,2020-06-25T13:54:39Z
47,Global vaccine alliance wins prestigious Spanish prize,2020-06-25T13:36:12Z
48,Tanzanian miner is overnight millionaire with large gem find,2020-06-25T13:32:20Z
49,Thai police say they have busted major money-laundering ring,2020-06-25T13:10:11Z
50,Reporters Without Borders condemns arrest of Egyptian editor,2020-06-25T13:08:10Z
51,The Technology 202: Lawmakers unveil bipartisan proposal to make social media moderation more transparent,2020-06-25T13:06:46Z
52,"To expand dining options, restaurants take to the streets",2020-06-25T13:00:00Z
53,Germany increases donation to WHO but demands reforms,2020-06-25T12:37:19Z
54,Thiem apologizes for playing in Djokovic's tennis event,2020-06-25T12:35:26Z
55,UN envoy: Israeli annexation could unleash Mideast violence,2020-06-25T12:33:23Z
56,Google to start paying some news publishers for content,2020-06-25T12:15:11Z
57,The Energy 202: Biden consolidates support from mainstream environmentalists with new endorsement,2020-06-25T12:14:57Z
59,Former GOP presidential aspirant Carly Fiorina says she plans to vote for Biden,2020-06-25T12:00:36Z
60,The Health 202: HHS says Trump’s comments on slowing coronavirus testing had nothing to do with scaling back 13 sites,2020-06-25T11:59:54Z
61,New research explores how conservative media misinformation may have intensified coronavirus,2020-06-25T11:59:12Z
62,"In a first, two openly gay black men are probably headed to Congress",2020-06-25T11:49:39Z
63,The Finance 202: The economic recovery looks poised to stall as coronavirus cases surge,2020-06-25T11:24:04Z
64,Congo announces end to 2nd deadliest Ebola outbreak ever,2020-06-25T11:16:19Z
65,"To protest face masks, Arizona city councilman uses George Floyd’s words: ‘I can’t breathe’ - The Washington Post",2020-06-25T11:14:16Z
66,"World Health Organization announces end to Ebola outbreak in eastern Congo that killed 2,280 people over nearly 2 years",2020-06-25T11:13:14Z
67,Cartoons are satirizing John Bolton’s new book about Trump,2020-06-25T11:12:24Z
68,Tesla workers fired after staying home during covid-19 pandemic,2020-06-25T11:12:04Z
